Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.05     63.74     0.03  9027760     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.05     63.77     0.03  4513884     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.05     63.80     0.03  4513884     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.05     63.83     0.03  4513880     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::_S_select_on_copy(std::allocator<double> const&)
  0.05     63.86     0.03        2     0.02     0.02  Solver::init_val(double, double*)
  0.05     63.89     0.03        1     0.03     0.08  void std::vector<double, std::allocator<double> >::_M_range_initialize<double const*>(double const*, double const*, std::forward_iterator_tag)
  0.04     63.92     0.03  9027762     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.04     63.94     0.03  4513880     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.04     63.97     0.03  4513880     0.00     0.00  std::enable_if<!std::allocator_traits<std::allocator<double> >::__select_helper<std::allocator<double> const>::value, std::allocator<double> const>::type std::allocator_traits<std::allocator<double> >::_S_select<std::allocator<double> const>(std::allocator<double> const&)
  0.04     63.99     0.03  9027766     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.03     64.01     0.02  9027760     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.03     64.03     0.02  9027760     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.03     64.05     0.02  4513886     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.03     64.07     0.02  4513880     0.00     0.00  double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.03     64.09     0.02  1000000     0.00     0.00  std::pair<double, double>::pair()
  0.03     64.11     0.02   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::end() const
  0.03     64.13     0.02        1     0.02     0.03  double* std::__copy_move_a2<false, double const*, double*>(double const*, double const*, double*)
  0.02     64.15     0.02   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_range_check(unsigned long) const
