Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 38.52     23.28    23.28 214229760     0.00     0.00  Solver::normal(unsigned long, double*)
 22.50     36.89    13.60        1    13.60    59.30  Solver::poisson3DSOR_gen()
  6.07     40.56     3.67 218743640     0.00     0.00  std::_Bit_reference::operator bool() const
  4.50     43.28     2.72 221567219     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  3.91     45.64     2.37 219684832     0.00     0.00  std::_Bit_iterator::operator*() const
  3.87     47.99     2.34 219684832     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  3.87     50.33     2.34  4513880     0.00     0.00  Solver::get_a(double*, std::vector<double, std::allocator<double> >&, int const&)
  3.43     52.40     2.07 370949016     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  3.33     54.41     2.02 219684833     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  2.71     56.05     1.64 219684832     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  1.34     56.86     0.81        1     0.81     0.82  std::vector<double, std::allocator<double> >::resize(unsigned long)
  1.13     57.54     0.69  4513880     0.00     0.00  Solver::normal_eps(unsigned long, double*, double*)
  1.13     58.22     0.68 13819880     0.00     0.00  Solver::calc_Neumann(int, int, int, int)
  0.96     58.80     0.58 221567219     0.00     0.00  std::iterator<std::random_access_iterator_tag, bool, long, bool*, bool&>::iterator()
  0.53     59.12     0.32        2     0.16     0.16  std::_Bit_iterator::_Bit_iterator()
  0.51     59.43     0.31   941192     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.26     59.59     0.16        1     0.16     0.74  Solver::check_eps(std::vector<double, std::allocator<double> >&, std::vector<bool, std::allocator<bool> >*)
  0.25     59.74     0.15        1     0.15     0.15  _GLOBAL__sub_I__ZN6Solver7set_valEiii
  0.23     59.88     0.14        2     0.07     0.07  std::_Niter_base<unsigned long*>::iterator_type std::__niter_base<unsigned long*>(unsigned long*)
