Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 63.46     31.67    31.67        1    31.67    49.57  Solver::poisson3DSOR_gen()
  6.95     35.13     3.47 218743640     0.00     0.00  std::_Bit_reference::operator bool() const
  6.12     38.19     3.06 219684832     0.00     0.00  std::_Bit_iterator::operator*() const
  4.71     40.54     2.35 221567219     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  4.30     42.68     2.15 219684832     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  3.96     44.66     1.98 219684833     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  3.59     46.45     1.79 219684832     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  2.29     47.59     1.14  4513880     0.00     0.00  Solver::get_a(double*, double*, int)
  1.34     48.26     0.67 221567219     0.00     0.00  std::iterator<std::random_access_iterator_tag, bool, long, bool*, bool&>::iterator()
  1.32     48.92     0.66 13819880     0.00     0.00  Solver::calc_Neumann(int, int, int)
  0.38     49.11     0.19        1     0.19     0.19  _GLOBAL__sub_I__ZN6Solver7set_valEiii
  0.34     49.28     0.17   941192     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.26     49.41     0.13        1     0.13     0.13  std::vector<bool, std::allocator<bool> >::~vector()
  0.22     49.52     0.11        1     0.11     0.43  Solver::check_eps(double*, std::vector<bool, std::allocator<bool> >*)
  0.16     49.60     0.08        1     0.08     0.08  Solver::check_branch1(bool*)
  0.12     49.66     0.06        2     0.03     0.03  std::_Bit_iterator::_Bit_iterator()
  0.08     49.70     0.04        1     0.04     0.04  Solver::init_eps()
  0.07     49.74     0.04  1882384     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  0.06     49.77     0.03        2     0.02     0.02  Solver::init_val(double, double*)
  0.06     49.80     0.03        1     0.03     0.03  Solver::init_rho()
  0.04     49.82     0.02  1000000     0.00     0.00  std::pair<double, double>::pair()
  0.04     49.84     0.02        1     0.02     0.02  Solver::check_branch0(bool*)
  0.04     49.86     0.02        1     0.02     0.04  Solver::init_val(double, std::pair<double, double>*)
  0.02     49.87     0.01   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_range_check(unsigned long) const
  0.02     49.88     0.01   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::end() const
  0.02     49.89     0.01   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.02     49.90     0.01   941192     0.00     0.00  std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  0.02     49.91     0.01        2     0.01     0.01  Solver::write_2D(double*, std::string)
  0.01     49.91     0.01        1     0.01     0.01  std::_Bit_iterator::operator+(long) const
  0.00     49.91     0.00   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::size() const
  0.00     49.91     0.00   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::at(unsigned long)
  0.00     49.91     0.00    40000     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.00     49.91     0.00    40000     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     49.91     0.00    20000     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     49.91     0.00    20000     0.00     0.00  std::setprecision(int)
  0.00     49.91     0.00    20000     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     49.91     0.00    20000     0.00     0.00  std::operator~(std::_Ios_Fmtflags)
  0.00     49.91     0.00    20000     0.00     0.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     49.91     0.00    20000     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     49.91     0.00    17584     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00     49.91     0.00       64     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00     49.91     0.00       40     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00     49.91     0.00       40     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     49.91     0.00       40     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00     49.91     0.00       32     0.00     0.00  std::_Iter_base<int const*, false>::_S_base(int const*)
  0.00     49.91     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00     49.91     0.00       24     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00     49.91     0.00       24     0.00     0.00  std::vector<Electrodes, std::allocator<Electrodes> >::operator[](unsigned long)
  0.00     49.91     0.00       24     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00     49.91     0.00       24     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00     49.91     0.00       16     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00     49.91     0.00       16     0.00     0.00  std::move_iterator<int*>::base() const
  0.00     49.91     0.00       16     0.00     0.00  std::initializer_list<int>::begin() const
  0.00     49.91     0.00       16     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00     49.91     0.00       16     0.00     0.00  std::_Iter_base<std::move_iterator<int*>, true>::_S_base(std::move_iterator<int*>)
  0.00     49.91     0.00       16     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00     49.91     0.00       16     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
