Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 33.93     22.71    22.71 214229760     0.00     0.00  Solver::normal(unsigned long, double*)
 33.08     44.86    22.14        1    22.14    66.07  Solver::poisson3DSOR_gen()
  4.81     48.08     3.22 218743640     0.00     0.00  std::_Bit_reference::operator bool() const
  3.91     50.70     2.62 219684832     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  3.54     53.07     2.37  4513880     0.00     0.00  Solver::get_a(double*, std::vector<double, std::allocator<double> >&, int const&)
  3.47     55.39     2.32 221567219     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  3.39     57.66     2.27 219684832     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  3.33     59.89     2.23 219684832     0.00     0.00  std::_Bit_iterator::operator*() const
  2.70     61.70     1.81 219684833     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  2.42     63.32     1.62 370949016     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.97     63.97     0.65 13819880     0.00     0.00  Solver::calc_Neumann(int, int, int, int)
  0.76     64.48     0.51        1     0.51     0.52  std::vector<double, std::allocator<double> >::resize(unsigned long)
  0.75     64.98     0.50 221567219     0.00     0.00  std::iterator<std::random_access_iterator_tag, bool, long, bool*, bool&>::iterator()
  0.64     65.41     0.43  4513880     0.00     0.00  Solver::normal_eps(unsigned long, double*, double*)
  0.52     65.76     0.35   941192     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.48     66.08     0.32        1     0.32     0.32  std::vector<bool, std::allocator<bool> >::~vector()
  0.30     66.28     0.20        2     0.10     0.10  std::_Bit_iterator::_Bit_iterator()
  0.24     66.44     0.16        1     0.16     0.16  _GLOBAL__sub_I__ZN6Solver7set_valEiii
  0.18     66.56     0.12        1     0.12     0.71  Solver::check_eps(std::vector<double, std::allocator<double> >&, std::vector<bool, std::allocator<bool> >*)
  0.10     66.63     0.07        1     0.07     0.60  Solver::init_eps()
  0.04     66.66     0.03  1882384     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  0.04     66.69     0.03   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.04     66.72     0.03        2     0.02     0.02  Solver::init_val(double, double*)
  0.04     66.75     0.03        1     0.03     0.03  Solver::check_branch(bool*)
  0.04     66.78     0.03        1     0.03     0.03  Solver::init_rho()
